Qual o estado que você mora?,Qual a sua idade?,Quantas vezes ao mês você faz compras em mercados?,"Qual a sua renda familiar, aproximadamente?",Extra,Carrefour,Pão de Açúcar,Rappi,James,iFood,Cornershop,Supermercado Now,Americanas Mercado,Uber,Não uso,Other,Ofertas de desconto em produtos nas prateleiras da loja (concentração BIG),Ofertas de desconto em produtos através de ativação no aplicativo (concentração BIG),Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra (concentração BIG),Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos) (concentração BIG),Acúmulo de pontos para troca por produtos ou cupons de desconto (concentração BIG),"Para você, qual a melhor forma de cadastro em programas de fidelidade?",Cartela de selinhos (conheço),Cashback  (conheço),Cupons de desconto  (conheço),Ativação de ofertas em aplicativos  (conheço),Acúmulo de pontos  (conheço),Acúmulo de milhas  (conheço),Cartão fidelidade  (conheço),Nenhum  (conheço),Cartela de selinhos (usei),Cashback (usei),Cupons de desconto (usei),Ativação de ofertas em aplicativos (usei),Acúmulo de pontos (usei),Acúmulo de milhas (usei),Cartão fidelidade (usei),Nenhum (usei),"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta","Não, nunca resgatei nenhum prêmio",Quais são os melhores tipos de recompensa para você?,"Entre esses dois refrigerantes, qual o que você geralmente inclui em suas compras?","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Pepsi 2x)","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Coca 2x)","No programa de selos, a cada R$20,00 em compras no BIG, exceto no setor de Eletro, você acumula um selo. Considere que você fez a compra ao lado, o que você entende sobre esse mecanismo do programa?","Para receber uma sanduicheira, você precisa juntar 40 selos. Porém, juntando 60 selos, você poderia trocar por um micro-ondas. Você gastaria R$ 100 a mais do que o normal no supermercado em um mês para trocar pelo micro-ondas?",Por que você não juntaria mais selos para trocar pelo microondas?,Por que você não trocaria os seus selos rapidamente pela sanduicheira?,O que você acha de campanhas temáticas próximas de datas comemorativas?,"Depois que você trocou a quantidade de selos pelo seu produto preferido, com quanto tempo você gostaria de retirar o produto na loja?","Caso você tivesse com a cartela de selos completa e o estoque dos prêmios acabassem antes de você resgatar, você participaria de outra campanha de selos?","Digamos que você fez uma compra de R$200,00 no BIG e começou a acompanhar seu progresso no programa de pontos. Olhando para a imagem ao lado, quantos reais faltam para você alcançar 1 moeda?","Digamos que você tem 1 moeda no programa de pontos, você concentraria mais R$ 200,00 em compras no BIG em um mês para ganhar 3 moedas e trocar por um prêmio melhor?",Você instalaria o aplicativo do BIG para participar do programa de selinhos?
Piauí (PI),35 a 45 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,Uber,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Pessoas na loja ajudando no cadastro,,,,,,,Cartão fidelidade,,Cartela de selinhos,,,,,,,,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG,Eletrodomésticos",Nenhum deles,,,Nada,"Sim, gastaria e trocaria pelo microondas",,Para acumular mais,Legal,No mesmo dia,Sim,R$200,1,1
Ceará (CE),25 a 35 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Pessoas na loja ajudando no cadastro,,,,,Acúmulo de pontos,,Cartão fidelidade,,Cartela de selinhos,,,,,,,,"Sim, já resgatei um produto",,,,,"Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...)",Coca-Cola,Pepsi com selos em dobro,,Bom,"Sim, gastaria e trocaria pelo microondas",,Prefiro esperar um pouco pra pegar algo melhor,Bom,No mesmo dia,Sim,R$100,1,1
Rio Grande do Sul (RS),mais de 55 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,Cartela de selinhos,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,,,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,,,"Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Eletrodomésticos,Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Pepsi com selos em dobro,,RESGATEI 2 SELOS NESTA COMPRA.,"Sim, gastaria e trocaria pelo microondas",,Porque o valor do resgate (prêmio) é menor e menos atraente.,Interessante.,No mesmo dia,Não,R$50,1,1
Paraíba (PB),25 a 35 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,iFood,,,,Uber,,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,,,,,Cartão fidelidade,,,,,,Acúmulo de pontos,,,,,"Sim, já recebi descontos na loja",,,,"Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Coca-Cola,,Entendo um pouco,"Sim, gastaria e trocaria pelo microondas",,Pq n,Muito bom,No mesmo dia,Sim,R$200,1,1
Pernambuco (PE),mais de 55 anos,1 a 3 vezes ao mês,"De 10 a 20 salários mínimos (de R$ 10.450,01 a R$ 20.900,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Terminal de auto atendimento na loja,,,,,,,Cartão fidelidade,,,,,,,,,Nenhum,"Sim, já resgatei um produto",,,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Pepsi com selos em dobro,,Sem resposta,"Sim, gastaria e trocaria pelo microondas",,Sem palavras,Interessante,Na mesma semana,Sim,R$100,1,1
Santa Catarina (SC),45 a 55 anos,Mais de 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Nem sei,"Sim, gastaria e trocaria pelo microondas",,Pegaria o q preciso,Não sei,Na mesma semana,Provavelmente,R$50,1,1
Pernambuco (PE),mais de 55 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Terminal de auto atendimento na loja,,,,,,,Cartão fidelidade,,,,Cupons de desconto,,Acúmulo de pontos,,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Nenhum deles,,,Fidelidade,"Sim, gastaria e trocaria pelo microondas",,Mais vantagem,"No meu ponto de vista, aquece as vendas.",Na mesma semana,Provavelmente,R$400,1,0
Maranhão (MA),45 a 55 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,,,,Acúmulo de pontos,,,,,,,,Acúmulo de pontos,,,,,,,,,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Nenhum deles,,,2 selos pelo valor da pepsi.,"Não, fico com a sanduicheira","Gastar menos, pois o salário é por hora de trabalho.",,,No mesmo dia,Depende da campanha,R$100,0,1
São Paulo (SP),mais de 55 anos,1 a 3 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Terminal de auto atendimento na loja,Cartela de selinhos,,Cupons de desconto,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,Cartela de selinhos,,Cupons de desconto,,,,Cartão fidelidade,,"Sim, já resgatei um produto",,,,,"Eletrodomésticos,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...)",Coca-Cola,Coca-Cola,,Que teria direito ao valor sem ser eletrodoméstico ou seja 2 cupons,"Sim, gastaria e trocaria pelo microondas",,Por ser mais útil o microondas,Adoooro,Na mesma semana,Depende da campanha,R$50,0,0
Bahia (BA),mais de 55 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Fazer o cadastro no próprio caixa,,,,,Acúmulo de pontos,,,,,,,,,Acúmulo de milhas,,,,"Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Dinheiro de volta (Cashback)",Nenhum deles,,,Muito pouco,"Sim, gastaria e trocaria pelo microondas",,P q preciso de um.microondss,Sem muita vantagem,No mesmo dia,Sim,R$100,0,1
Rio Grande do Sul (RS),25 a 35 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,,Cashback,,Ativação de ofertas em aplicativos,,,Cartão fidelidade,,,"Sim, já recebi descontos na loja",,,,"Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de desconto no BIG,Dinheiro de volta (Cashback),Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de descontos em lojas parceiras",Pepsi,,Pepsi,Entendo que juntando os selos posso trocar por produtos ou descontos nas próximas compras,"Sim, gastaria e trocaria pelo microondas",,"Porque já tenho uma sanduicheira e não tenho microondas. E também porque gosto de comprar neste supermercado, então não me importaria de adiantar algumas compras e em troca ganhar um eletrodoméstico que não tenho.","Acho muito bom, incentiva o pessoal a comprar mais",No mesmo dia,Sim,R$100,1,1
Pernambuco (PE),mais de 55 anos,1 a 3 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,Carrefour,,,,,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,Cashback,,Ativação de ofertas em aplicativos,,,Cartão fidelidade,,,Cashback,,,,,,,,,"Sim, já recebi descontos em outros serviços",,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Dinheiro de volta (Cashback)",Coca-Cola,Pepsi com selos em dobro,,So valeria o valor da pepsi,"Sim, gastaria e trocaria pelo microondas",,Pa prefiro microo dad,Boas,No mesmo dia,Não,R$100,0,1
Pernambuco (PE),35 a 45 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,Cashback,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Ok,"Sim, gastaria e trocaria pelo microondas",,Ja tenho,Boas,No mesmo dia,Sim,R$100,1,1
Pernambuco (PE),35 a 45 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Pessoas na loja ajudando no cadastro,,,,Ativação de ofertas em aplicativos,,,,,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Eletrodomésticos,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Nenhum deles,,,Não entendir,"Sim, gastaria e trocaria pelo microondas",,Para acumular e trocar por outro produto,"É muito bom,principalmente as promoções.",No mesmo dia,Depende da campanha,R$100,1,1
Pernambuco (PE),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,Cupons de desconto,,,,,,,Cashback,,,,,,,,,,"Sim, já recebi dinheiro de volta",,"Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Nenhum deles,,,Bom incentivo  para  o cliente,"Não, fico com a sanduicheira",Preciso  de uma sanduicheira,,,No mesmo dia,Sim,R$100,1,1
Pernambuco (PE),mais de 55 anos,Não vou ao mercado,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Bom,"Sim, gastaria e trocaria pelo microondas",,Pq eu não queria uma sanduícheira,Muito bom,No mesmo dia,Sim,R$400,1,1
Paraíba (PB),mais de 55 anos,Mais de 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",Extra,Carrefour,,,,iFood,,,,Uber,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,Cupons de desconto,,,,,,,,Cupons de desconto,,,,,,,"Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Muito bom e atrativo,"Sim, gastaria e trocaria pelo microondas",,O microondas seria melhor,Bom,No mesmo dia,Sim,R$100,1,1
Pernambuco (PE),25 a 35 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Fazer o cadastro no próprio caixa,,,,Ativação de ofertas em aplicativos,,,Cartão fidelidade,,,Cashback,,,,,,,,,,"Sim, já recebi dinheiro de volta","Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Dinheiro de volta (Cashback)",Coca-Cola,Coca-Cola,,Não sei interpretar isso .,"Sim, gastaria e trocaria pelo microondas",,Porque não me é útil uma sanduicheira e sim um microondas.,"Muito bom esse mecanismo de campanhas, particularmente eu gosto",No mesmo dia,Não,R$100,1,1
Pernambuco (PE),45 a 55 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,iFood,,,,Uber,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,Cupons de desconto,,,,,,,,Cupons de desconto,,,,,,,,"Sim, já recebi descontos em outros serviços",,,"Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Dinheiro de volta (Cashback),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...)",Pepsi,,Pepsi,Melhor seria em desconto para outra compra,"Não, fico com a sanduicheira",Só compro o que preciso,,,Na mesma semana,Depende da campanha,R$100,0,1
Pernambuco (PE),mais de 55 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Fazer o cadastro no próprio caixa,,,,,Acúmulo de pontos,,,,,,,,,,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,,,"Eletrodomésticos,Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Não participei ainda,"Não, fico com a sanduicheira",Eu preciso de uma sanduicheirara,,,Em até 2 meses,Sim,R$100,1,1
Bahia (BA),25 a 35 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Terminal de auto atendimento na loja,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,,Cashback,Cupons de desconto,,Acúmulo de pontos,,,,,"Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...)",Pepsi,,Pepsi,Ganho dois selo,"Sim, gastaria e trocaria pelo microondas",,"Prefiro o de mais valor, que vale apena",Muito bom,No mesmo dia,Provavelmente,R$100,1,1
Alagoas (AL),mais de 55 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",Extra,,,,,iFood,,,,,,,,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,Cartela de selinhos,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,,,Cartela de selinhos,,Cupons de desconto,Ativação de ofertas em aplicativos,,Acúmulo de milhas,,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços",,,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...)",Nenhum deles,,,Entendo que aí eu ganharia 2 selos,"Sim, gastaria e trocaria pelo microondas",,Pelo valor do microondas,Acho ótimo!,No mesmo dia,Provavelmente,R$100,1,1
São Paulo (SP),mais de 55 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,Cartela de selinhos,,,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,Cartela de selinhos,,,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,"Sim, já resgatei um produto",,,,,"Eletrodomésticos,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Dinheiro de volta (Cashback),Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...)",Pepsi,,Pepsi,bom,"Sim, gastaria e trocaria pelo microondas",,pelo produto,bom,No mesmo dia,Depende da campanha,R$100,1,1
Alagoas (AL),mais de 55 anos,Mais de 5 vezes ao mês,"De 10 a 20 salários mínimos (de R$ 10.450,01 a R$ 20.900,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,Cartela de selinhos,,,,,,,,Cartela de selinhos,,,,,,Cartão fidelidade,,"Sim, já resgatei um produto",,,,,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Nenhum deles,,,Recebemos desconto no caixa,"Sim, gastaria e trocaria pelo microondas",,Porque tenho 3,Perfeitas,Na mesma semana,Provavelmente,R$100,1,1
Ceará (CE),25 a 35 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,Rappi,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,Cashback,Cupons de desconto,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,Cashback,Cupons de desconto,,Acúmulo de pontos,,Cartão fidelidade,,,,,,"Não, nunca resgatei nenhum prêmio","Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...)",Coca-Cola,Coca-Cola,,comprando 20 reais da direito a 1 selo,"Sim, gastaria e trocaria pelo microondas",,Porque eu prefiro o micro-ondas,Adoro,No mesmo dia,Depende da campanha,R$100,1,1
São Paulo (SP),mais de 55 anos,Mais de 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Pessoas na loja ajudando no cadastro,,,Cupons de desconto,,Acúmulo de pontos,,Cartão fidelidade,,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Cupons de desconto no BIG,Eletrodomésticos,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Nenhum deles,,,Ganhei 2 selos referente ao item 002,"Não, fico com a sanduicheira",Não tenho sanduicheira...,,,Na mesma semana,Sim,R$100,0,0
Rio Grande do Sul (RS),45 a 55 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,,Ativação de ofertas em aplicativos,,,,,,,,Ativação de ofertas em aplicativos,,,,,,"Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Cupons de desconto no BIG",Pepsi,,Pepsi,Nada direito,"Sim, gastaria e trocaria pelo microondas",,Porque o micro é de maior utilidade,Sim ! gosto muito,Na mesma semana,Sim,R$50,1,1
Bahia (BA),35 a 45 anos,Mais de 5 vezes ao mês,"De 10 a 20 salários mínimos (de R$ 10.450,01 a R$ 20.900,00)",,,,,,iFood,,,,,,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,Cashback,Cupons de desconto,,,Acúmulo de milhas,,,,Cashback,Cupons de desconto,,,Acúmulo de milhas,,,"Sim, já resgatei um produto",,,"Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Nenhum deles,,,Que eu teria direito a 2 cupons,"Sim, gastaria e trocaria pelo microondas",,Prêmio melhor,Ideia batida demais,Na mesma semana,Provavelmente,R$50,1,1
Piauí (PI),45 a 55 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Fazer o cadastro no próprio caixa,Cartela de selinhos,,,,,,,,Cartela de selinhos,,,,,,,,"Sim, já resgatei um produto",,,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Nenhum deles,,,Que receberei dois selos da compra do refrigerante.,"Sim, gastaria e trocaria pelo microondas",,Pelo valor agregado no micro ondas,Chamativas,No mesmo dia,Não,R$100,0,1
